,naive,seq10561@63,seq302@118,seq619@378,seq9774@9,seq4248@8,seq27@113,seq6993@20,seq1843@112,seq16003@68,seq4795@46,seq915@43,seq8547@33,seq9023@33,seq38@25,seq712@21,seq8536@19,seq28636@19,seq13032@18,seq11234@12,seq6716@11,seq5073@10,seq875@8,seq904@8,seq16381@7,seq20@9112,seq1764@80,seq5688@45,seq3458@45,seq5512@19,seq38892@8,seq10450@19,seq5148@11,seq10@777,seq7938@13,seq14282@7,seq47@726,seq1048@179,seq1649@77,seq4972@45,seq15878@37,seq18569@7,seq11801@22,seq6754@61,seq5124@19,seq7948@16,seq19010@8,seq7182@27,seq3787@7,seq1769@102,seq1239@114,seq170@101,seq3008@98,seq19@69,seq1327@68,seq1699@66,seq3122@63,seq6883@49,seq17098@41,seq3970@32,seq4855@27,seq4449@25,seq1534@18,seq26045@16,seq1233@15,seq9906@12,seq241@10,seq16227@8,seq17687@7
seq4795@46,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999
seq915@43,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999
seq8547@33,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999
seq9023@33,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999
seq38@25,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999
seq712@21,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999
seq8536@19,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999
seq28636@19,0.9878787878787878,0.9757575757575757,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9757575757575757,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,1.0,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9757575757575757,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9757575757575757,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9757575757575757,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9757575757575757,0.9878787878787878,0.9757575757575757,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.9878787878787878
seq13032@18,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999
seq11234@12,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999
